config_id,xca_name,vmf_name,pma_name,xca_passes,vmf_run,vmf_max_iters,vmf_smooth_sigma,vmf_window,vmf_roi_sigma,pma_run,pma_levels,pma_scale,pma_iters_per_level,pma_shift_method,pma_of_sigma,rcs,time_s,status
-1,none,none,none,[],False,,,,,False,,,,,,0.282777,84.9,ok
0,xca_baseline,vmf_skip,pma_skip,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",False,,,,,False,,,,,,0.122325,187.7,ok
1,xca_baseline,vmf_skip,pma_of_2lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",False,,,,,True,2,2,"[5, 5]",optical_flow,3.0,0.115622,704.3,ok
2,xca_baseline,vmf_skip,pma_of_2lev_sigma2,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",False,,,,,True,2,2,"[5, 5]",optical_flow,2.0,0.117806,701.7,ok
3,xca_baseline,vmf_skip,pma_of_3lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",False,,,,,True,3,2,"[5, 5, 3]",optical_flow,3.0,0.120358,607.1,ok
4,xca_baseline,vmf_skip,pma_of_3lev_more,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",False,,,,,True,3,2,"[10, 5, 3]",optical_flow,3.0,0.121786,667.2,ok
5,xca_baseline,vmf_skip,pma_cc_2lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",False,,,,,True,2,2,"[5, 5]",cross_correlation,3.0,0.120737,709.5,ok
6,xca_baseline,vmf_soft_light,pma_skip,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,3,1.0,soft_roi,0.3,False,,,,,,0.133069,192.4,ok
7,xca_baseline,vmf_soft_light,pma_of_2lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,3,1.0,soft_roi,0.3,True,2,2,"[5, 5]",optical_flow,3.0,0.127808,701.9,ok
8,xca_baseline,vmf_soft_light,pma_of_2lev_sigma2,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,3,1.0,soft_roi,0.3,True,2,2,"[5, 5]",optical_flow,2.0,0.128706,700.9,ok
9,xca_baseline,vmf_soft_light,pma_of_3lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,3,1.0,soft_roi,0.3,True,3,2,"[5, 5, 3]",optical_flow,3.0,0.123450,622.7,ok
10,xca_baseline,vmf_soft_light,pma_of_3lev_more,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,3,1.0,soft_roi,0.3,True,3,2,"[10, 5, 3]",optical_flow,3.0,0.125272,683.2,ok
11,xca_baseline,vmf_soft_light,pma_cc_2lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,3,1.0,soft_roi,0.3,True,2,2,"[5, 5]",cross_correlation,3.0,0.129397,718.9,ok
12,xca_baseline,vmf_soft_heavy,pma_skip,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,5,1.0,soft_roi,0.3,False,,,,,,0.138928,190.5,ok
13,xca_baseline,vmf_soft_heavy,pma_of_2lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,5,1.0,soft_roi,0.3,True,2,2,"[5, 5]",optical_flow,3.0,0.131031,716.4,ok
14,xca_baseline,vmf_soft_heavy,pma_of_2lev_sigma2,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,5,1.0,soft_roi,0.3,True,2,2,"[5, 5]",optical_flow,2.0,0.134836,724.0,ok
15,xca_baseline,vmf_soft_heavy,pma_of_3lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,5,1.0,soft_roi,0.3,True,3,2,"[5, 5, 3]",optical_flow,3.0,0.120345,628.0,ok
16,xca_baseline,vmf_soft_heavy,pma_of_3lev_more,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,5,1.0,soft_roi,0.3,True,3,2,"[10, 5, 3]",optical_flow,3.0,0.119059,686.3,ok
17,xca_baseline,vmf_soft_heavy,pma_cc_2lev,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,5,1.0,soft_roi,0.3,True,2,2,"[5, 5]",cross_correlation,3.0,0.134886,727.7,ok
18,xca_baseline,vmf_soft_wide_sigma,pma_skip,"[{'downsample': 4, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 2, 'max_iterations': 10, 'stepRatio': 0.9}, {'downsample': 1, 'max_iterations': 5, 'stepRatio': 0.8}]",True,5,2.0,soft_roi,0.4,False,,,,,,0.129723,197.1,ok
